,date_time,water
0,2019-12-01 00:00:00,-0.72
1,2019-12-01 01:00:00,-0.97
2,2019-12-01 02:00:00,-1.14
3,2019-12-01 03:00:00,-1.17
4,2019-12-01 04:00:00,-0.74
5,2019-12-01 05:00:00,-0.14
6,2019-12-01 06:00:00,0.47
7,2019-12-01 07:00:00,1.0
8,2019-12-01 08:00:00,1.37
9,2019-12-01 09:00:00,1.63
10,2019-12-01 10:00:00,1.63
11,2019-12-01 11:00:00,1.52
12,2019-12-01 12:00:00,1.37
13,2019-12-01 13:00:00,1.18
14,2019-12-01 14:00:00,1.0
15,2019-12-01 15:00:00,0.95
16,2019-12-01 16:00:00,0.99
17,2019-12-01 17:00:00,1.03
18,2019-12-01 18:00:00,1.1
19,2019-12-01 19:00:00,1.0
20,2019-12-01 20:00:00,0.82
21,2019-12-01 21:00:00,0.53
22,2019-12-01 22:00:00,0.18
23,2019-12-01 23:00:00,-0.17
24,2019-12-02 00:00:00,-0.49
25,2019-12-02 01:00:00,-0.76
26,2019-12-02 02:00:00,-0.99
27,2019-12-02 03:00:00,-1.07
28,2019-12-02 04:00:00,-0.85
29,2019-12-02 05:00:00,-0.33
30,2019-12-02 06:00:00,0.19
31,2019-12-02 07:00:00,0.74
32,2019-12-02 08:00:00,1.15
33,2019-12-02 09:00:00,1.4
34,2019-12-02 10:00:00,1.53
35,2019-12-02 11:00:00,1.5
36,2019-12-02 12:00:00,1.38
37,2019-12-02 13:00:00,1.17
38,2019-12-02 14:00:00,0.98
39,2019-12-02 15:00:00,0.88
40,2019-12-02 16:00:00,0.9
41,2019-12-02 17:00:00,0.92
42,2019-12-02 18:00:00,0.98
43,2019-12-02 19:00:00,0.95
44,2019-12-02 20:00:00,0.84
45,2019-12-02 21:00:00,0.6
46,2019-12-02 22:00:00,0.24
47,2019-12-02 23:00:00,-0.09
48,2019-12-03 00:00:00,-0.42
49,2019-12-03 01:00:00,-0.67
50,2019-12-03 02:00:00,-0.85
51,2019-12-03 03:00:00,-0.96
52,2019-12-03 04:00:00,-0.86
53,2019-12-03 05:00:00,-0.47
54,2019-12-03 06:00:00,-0.02
55,2019-12-03 07:00:00,0.55
56,2019-12-03 08:00:00,0.97
57,2019-12-03 09:00:00,1.28
58,2019-12-03 10:00:00,1.5
59,2019-12-03 11:00:00,1.58
60,2019-12-03 12:00:00,1.54
61,2019-12-03 13:00:00,1.42
62,2019-12-03 14:00:00,1.25
63,2019-12-03 15:00:00,0.21
64,2019-12-03 16:00:00,1.0
65,2019-12-03 17:00:00,0.91
66,2019-12-03 18:00:00,0.99
67,2019-12-03 19:00:00,0.93
68,2019-12-03 20:00:00,0.88
69,2019-12-03 21:00:00,0.82
70,2019-12-03 22:00:00,0.63
71,2019-12-03 23:00:00,0.34
72,2019-12-04 00:00:00,0.13
73,2019-12-04 01:00:00,-0.14
74,2019-12-04 02:00:00,-0.31
75,2019-12-04 03:00:00,-0.37
76,2019-12-04 04:00:00,-0.41
77,2019-12-04 05:00:00,-0.19
78,2019-12-04 06:00:00,0.09
79,2019-12-04 07:00:00,0.38
80,2019-12-04 08:00:00,0.71
81,2019-12-04 09:00:00,0.95
82,2019-12-04 10:00:00,1.18
83,2019-12-04 11:00:00,1.29
84,2019-12-04 12:00:00,1.26
85,2019-12-04 13:00:00,1.19
86,2019-12-04 14:00:00,1.09
87,2019-12-04 15:00:00,1.01
88,2019-12-04 16:00:00,0.9
89,2019-12-04 17:00:00,0.85
90,2019-12-04 18:00:00,0.82
91,2019-12-04 19:00:00,0.74
92,2019-12-04 20:00:00,0.64
93,2019-12-04 21:00:00,0.5
94,2019-12-04 22:00:00,0.36
95,2019-12-04 23:00:00,0.13
96,2019-12-05 00:00:00,-0.06
97,2019-12-05 01:00:00,-0.27
98,2019-12-05 02:00:00,-0.44
99,2019-12-05 03:00:00,-0.56
100,2019-12-05 04:00:00,-0.59
101,2019-12-05 05:00:00,-0.49
102,2019-12-05 06:00:00,-0.35
103,2019-12-05 07:00:00,-0.15
104,2019-12-05 08:00:00,0.13
105,2019-12-05 09:00:00,0.43
106,2019-12-05 10:00:00,0.66
107,2019-12-05 11:00:00,0.88
108,2019-12-05 12:00:00,1.05
109,2019-12-05 13:00:00,1.11
110,2019-12-05 14:00:00,1.02
111,2019-12-05 15:00:00,0.89
112,2019-12-05 16:00:00,0.83
113,2019-12-05 17:00:00,0.7
114,2019-12-05 18:00:00,0.57
115,2019-12-05 19:00:00,0.47
116,2019-12-05 20:00:00,0.44
117,2019-12-05 21:00:00,0.36
118,2019-12-05 22:00:00,0.23
119,2019-12-05 23:00:00,0.12
120,2019-12-06 00:00:00,0.0
121,2019-12-06 01:00:00,-0.11
122,2019-12-06 02:00:00,-0.24
123,2019-12-06 03:00:00,-0.38
124,2019-12-06 04:00:00,-0.44
125,2019-12-06 05:00:00,-0.42
126,2019-12-06 06:00:00,-0.33
127,2019-12-06 07:00:00,-0.25
128,2019-12-06 08:00:00,0.01
129,2019-12-06 09:00:00,0.25
130,2019-12-06 10:00:00,0.47
131,2019-12-06 11:00:00,0.7
132,2019-12-06 12:00:00,0.89
133,2019-12-06 13:00:00,1.0
134,2019-12-06 14:00:00,0.94
135,2019-12-06 15:00:00,0.81
136,2019-12-06 16:00:00,0.65
137,2019-12-06 17:00:00,0.48
138,2019-12-06 18:00:00,0.31
139,2019-12-06 19:00:00,0.15
140,2019-12-06 20:00:00,0.01
141,2019-12-06 21:00:00,0.01
142,2019-12-06 22:00:00,-0.04
143,2019-12-06 23:00:00,0.01
144,2019-12-07 00:00:00,0.02
145,2019-12-07 01:00:00,0.11
146,2019-12-07 02:00:00,0.11
147,2019-12-07 03:00:00,0.05
148,2019-12-07 04:00:00,0.02
149,2019-12-07 05:00:00,-0.03
150,2019-12-07 06:00:00,-0.02
151,2019-12-07 07:00:00,0.01
152,2019-12-07 08:00:00,0.13
153,2019-12-07 09:00:00,0.23
154,2019-12-07 10:00:00,0.52
155,2019-12-07 11:00:00,0.85
156,2019-12-07 12:00:00,1.12
157,2019-12-07 13:00:00,1.21
158,2019-12-07 14:00:00,1.27
159,2019-12-07 15:00:00,1.23
160,2019-12-07 16:00:00,1.12
161,2019-12-07 17:00:00,0.92
162,2019-12-07 18:00:00,0.69
163,2019-12-07 19:00:00,0.43
164,2019-12-07 20:00:00,0.31
165,2019-12-07 21:00:00,0.25
166,2019-12-07 22:00:00,0.25
167,2019-12-07 23:00:00,0.41
168,2019-12-08 00:00:00,0.59
169,2019-12-08 01:00:00,0.81
170,2019-12-08 02:00:00,0.89
171,2019-12-08 03:00:00,0.95
172,2019-12-08 04:00:00,0.87
173,2019-12-08 05:00:00,0.83
174,2019-12-08 06:00:00,0.7
175,2019-12-08 07:00:00,0.59
176,2019-12-08 08:00:00,0.52
177,2019-12-08 09:00:00,0.6
178,2019-12-08 10:00:00,0.76
179,2019-12-08 11:00:00,1.01
180,2019-12-08 12:00:00,1.22
181,2019-12-08 13:00:00,1.37
182,2019-12-08 14:00:00,1.39
183,2019-12-08 15:00:00,1.33
184,2019-12-08 16:00:00,1.12
185,2019-12-08 17:00:00,0.84
186,2019-12-08 18:00:00,0.57
187,2019-12-08 19:00:00,0.29
188,2019-12-08 20:00:00,0.05
189,2019-12-08 21:00:00,-0.09
190,2019-12-08 22:00:00,-0.14
191,2019-12-08 23:00:00,-0.01
192,2019-12-09 00:00:00,0.14
193,2019-12-09 01:00:00,0.34
194,2019-12-09 02:00:00,0.53
195,2019-12-09 03:00:00,0.67
196,2019-12-09 04:00:00,0.73
197,2019-12-09 05:00:00,0.7
198,2019-12-09 06:00:00,0.64
199,2019-12-09 07:00:00,0.59
200,2019-12-09 08:00:00,0.49
201,2019-12-09 09:00:00,0.49
202,2019-12-09 10:00:00,0.56
203,2019-12-09 11:00:00,0.69
204,2019-12-09 12:00:00,0.83
205,2019-12-09 13:00:00,0.96
206,2019-12-09 14:00:00,1.04
207,2019-12-09 15:00:00,1.02
208,2019-12-09 16:00:00,0.88
209,2019-12-09 17:00:00,0.68
210,2019-12-09 18:00:00,0.41
211,2019-12-09 19:00:00,0.12
212,2019-12-09 20:00:00,-0.12
213,2019-12-09 21:00:00,-0.31
214,2019-12-09 22:00:00,-0.44
215,2019-12-09 23:00:00,-0.4
216,2019-12-10 00:00:00,-0.23
217,2019-12-10 01:00:00,0.16
218,2019-12-10 02:00:00,0.51
219,2019-12-10 03:00:00,0.78
220,2019-12-10 04:00:00,1.01
221,2019-12-10 05:00:00,1.13
222,2019-12-10 06:00:00,1.13
223,2019-12-10 07:00:00,1.02
224,2019-12-10 08:00:00,0.82
225,2019-12-10 09:00:00,0.69
226,2019-12-10 10:00:00,0.6
227,2019-12-10 11:00:00,0.6
228,2019-12-10 12:00:00,0.71
229,2019-12-10 13:00:00,0.9
230,2019-12-10 14:00:00,1.03
231,2019-12-10 15:00:00,1.12
